gene,logFC,P.Value
28989,-0.923118333,0.001832183
10548 /// 79711,-0.695301667,0.001851127
79641,-0.896146667,0.00186319
10611,-1.377125,0.001869379
4192,-0.919633333,0.001871678
4332,-2.316553333,0.001896098
9353,1.498673333,0.001902601
7538,1.639013333,0.001912117
23731,1.014568333,0.001955661
10993,-1.073703333,0.001964531
2335,-1.362246667,0.001971774
9076,-2.25219,0.001975366
2068,-0.533196667,0.002000806
25840,1.02585,0.002002468
1175,-1.08449,0.002004788
27332,0.823995,0.002005941
1003,1.968225,0.002006238
8613,1.208948333,0.002011455
7490,-1.961795,0.002017135
161198,1.262173333,0.002018613
147906,-1.409013333,0.00202666
92745,-1.741626667,0.002029986
28991,-0.68012,0.002040953
64123,1.943336667,0.00205152
8630,-3.241951667,0.002052252
54209,-2.08073,0.002067555
7556,1.032085,0.002074574
8991,1.103811667,0.002109615
5296,-0.819988333,0.002109837
3145,-0.850676667,0.002113359
3268,0.890053333,0.00211981
306,1.698953333,0.002125695
6812,0.889666667,0.002128169
768206,0.995233333,0.002150766
6414,1.06533,0.002165469
56997,1.07651,0.002167263
117247,-1.43361,0.002180194
134265,1.642288333,0.002182482
83439,0.919411667,0.00218678
27173,-0.650995,0.00221158
84303,-0.835251667,0.002213932
2592,0.633033333,0.002215801
5826,1.170575,0.002238082
83699,1.437858333,0.00226331
85025,-1.103511667,0.002288004
28232,0.764473333,0.002293702
94104,1.121238333,0.002297637
8877,-1.753081667,0.002306787
11227,-0.756475,0.002316825
223117,0.981796667,0.00232876
57562,1.245466667,0.002332872
55638,1.648146667,0.002349532
100506392,-0.991326667,0.002356191
5179,4.18279,0.002370277
352990,0.69968,0.002386725
5581,1.025441667,0.002387029
56675,-1.37102,0.00238878
80323,0.627571667,0.002396307
81610,-1.322408333,0.002397197
3232 /// 3233 /// 401021,1.477963333,0.002400885
207063,-1.057531667,0.00241662
29992,-1.343693333,0.002435272
400322 /// 440248,1.34823,0.00245075
6747,-1.221051667,0.002466006
6507,-1.947183333,0.002466281
54958,-1.167611667,0.002467683
410,-1.206633333,0.002488898
10226,-0.77645,0.002501115
7533,-1.055556667,0.002509382
84254,0.737581667,0.002513975
5394,1.006385,0.002518188
10534,-1.02298,0.002528287
7292,-3.25994,0.002536917
4833,-0.88671,0.002539346
79035,-0.643725,0.00254479
1374,0.601781667,0.002555899
8270,-0.910705,0.002566222
90952,1.260201667,0.002570946
942,-1.343893333,0.002572091
28231,1.256135,0.002584407
1611,-1.332826667,0.002591639
339761,1.193681667,0.002593024
10169 /// 25764 /// 100302254,-1.086966667,0.002595147
1960,1.224836667,0.002596981
348094,1.429336667,0.002620255
7107,-1.59689,0.002625973
4783,1.360918333,0.002627264
51280,-2.157561667,0.002628402
4627,-1.126545,0.002629172
5563,1.523625,0.002633664
56243,-1.751035,0.002635088
10567,-1.107793333,0.002635281
114780,0.851288333,0.002643802
55787,1.00884,0.002650921
285958 /// 677798 /// 101928927,0.75585,0.002659021
100505933,1.410676667,0.002664811
7462,-1.204888333,0.002669381
583,0.906778333,0.002677092
23092,1.59978,0.002697851
147040,-0.952791667,0.002700671
54532,1.355275,0.002710697
8644,1.903853333,0.002712667
51804,-1.256926667,0.002756145
2034,1.521903333,0.002764246
1001,-0.950606667,0.0027782
79364,0.784093333,0.002781569
54221,1.943863333,0.002782771
1843,1.051601667,0.00279452
7111,1.82249,0.002798502
440957,-0.869276667,0.002807959
222171,-0.615206667,0.002808181
84309,-0.610283333,0.002839217
80318,1.192953333,0.002855827
5073,-0.958693333,0.002862356
347,2.595176667,0.002863153
64759,-1.015705,0.002866757
54492,2.120758333,0.002868894
64840,-0.93226,0.002872046
26040,0.866881667,0.0028794
25957,0.536255,0.002888802
667,0.938625,0.002889353
8363,-1.16387,0.002915383
84620,-3.342453333,0.002921056
118788,-2.202216667,0.002922122
10628,0.753126667,0.002940413
100507495,0.91473,0.002953471
84561,-1.955285,0.002958055
284013,-1.776993333,0.002965818
91851,2.813426667,0.002966856
92162,1.62028,0.002982502
79686 /// 161176,1.440606667,0.002992627
57523,0.98862,0.002995066
55379,-1.430383333,0.003007409
2049,-0.7151,0.003014476
358,2.116691667,0.003045001
10144,1.444523333,0.003056092
155038,1.952386667,0.003063384
11095,2.76574,0.003069817
51079,-1.01664,0.003081459
23086,1.482978333,0.003084739
58487,0.75533,0.003086666
100130232,1.22265,0.003091154
10974,1.867383333,0.003097626
90025,0.972053333,0.003098762
440508,1.24538,0.003102756
79414,-1.246468333,0.003122294
84313,-1.198136667,0.0031227
